common_name,sci_name,sci_name_cite,distribution,distribution_cite,tree_rad_low,tree_rad_low_cite,tree_rad_high,tree_rad_high_cite,density,density_cite,janka_hardness,janka_hardness_cite,rupture_modulus,rupture_modulus_cite,elastic_modulus,elastic_modulus_cite,crushing_strength,crushing_strength_cite,shrink_rad,shrink_rad_cite,shrink_tan,shrink_tan_cite,shrink_volumetric,shrink_volumetric_cite,rot_resistance,rot_resistance_cite,workability,workability_cite,common_uses,common_uses_cite,primary_sources,primary_sources_cite,archaeological_sources,archaeological_sources_cite,shapefile,shapefile_cite,secondary_sources,secondary_sources_cite,notes,notes_cite,tree_height_low,tree_height_low_cite,tree_height_high,tree_height_high_cite,image,image_cite
" sycamore maple, european sycamore",acer pseudoplatanus,1,europe and southwestern asia,1,1,1,1.2,1,615,1,4680,1,98.1,1,9.92,1,55,1,4.5,1,7.8,1,12.3,1,rated as non-durable to perishable in regard to decay resistance.,1,"fairly easy to work with both hand and machine tools, though maple has a tendency to burn when being machined with high-speed cutters such as in a router. turns, glues, and finishes well, though blotches can occur when staining, and a pre-conditioner, gel stain, or toner may be necessary to get an even color.",1," veneer, paper (pulpwood), boxes, crates/pallets, musical instruments, turned objects, and other small specialty wood items.",1,,,,,,,,,,,25,1,35,1,,
" marblewood, angelim rajado",zygia racemosa (syn.marmaroxylon racemosum),1,northeastern south america,1,0.3,1,0.6,1,1005,1,11250,1,157.1,1,19.43,1,75.8,1,6,1,10.5,1,17.5,1," rated as durable to very durable regarding decay resistance, with moderate resistance to insect attack.",1,"tends to be difficult to work on account of its high density. marblewood can have a moderate to severe blunting effect on tool cutters. glues, turns, and finishes well, though there is a high risk of checking and resin exudation during drying.",1," flooring, sliced veneer, turned objects, cabinetry, and fine furniture.",1,,,,,,,,,,,20,1,30,1,,
" bulletwood, massaranduba",manilkara bidentata,1,"caribbean, central and south america",1,0.6,1,1.2,1,1080,1,13920,1,192.2,1,23.06,1,89.2,1,6.7,1,9.4,1,16.8,1," rated as very durable, with good resistance to most insect attack. susceptible to marine borers.",1,"despite its high density, bulletwood generally produces good results with both hand and machine tools, though it does exhibit an above-average dulling effect on cutters. responds well to steam-bending. can pose challenges in gluing due to high density and oil content.",1," heavy construction (within its natural range), decking, flooring, boatbuilding, bent parts, and turned objects.",1,,,,,,,,,,,30,1,46,1,,
" dark red meranti, lauan, philippine mahogany",shorea spp.,1,southeast asia,1,1,1,2,1,675,1,3570,1,87.7,1,12.02,1,48.8,1,3.9,1,7.8,1,12.5,1," reported as moderately-durable to non-durable in regard to decay resistance, but is susceptible to insect attack.",1,"typically easy to work, though any interlocked grain can present problems during planing, and dark red meranti is reported to have very poor steam-bending properties. some species may have a slight blunting effect on tools due to small levels of silica present in the wood. glues, stains, and finishes well.",1," plywood, interior furniture, general construction, concrete forms, veneer, and boatbuilding.",1,,,,,,,,,,,20,1,40,1,,
" light red meranti, lauan, philippine mahogany",shorea spp.,1,southeast asia,1,1,1,2,1,480,1,2460,1,77.3,1,11.39,1,42.2,1,4.1,1,7.8,1,12.6,1," reported as non-durable in regard to decay resistance, and is also susceptible to insect attack.",1,"typically easy to work, due to its low density. though some rough or ragged surfaces may be left while sanding, and it may be necessary to sand up to a finer grit to obtain a satisfactory finish. some species may have a slight blunting effect on tools due to small levels of silica present in the wood. glues, stains, and finishes well.",1," plywood, interior furniture, general construction, concrete forms, as well as a number of other general utility purposes.",1,,,,,,,,,,,20,1,40,1,,
" white meranti, lauan, philippine mahogany",shorea spp.,1,southeast asia,1,1,1,1.5,1,590,1,4670,1,80.2,1,10.24,1,47.3,1,3.3,1,6.9,1,8.9,1," varies between species, though usually reported as being non-durable in regard to decay resistance, and also susceptible to insect attack.",1,"white meranti is in and of itself easy to work, but it has a very severe blunting effect on tools due to its high silica content, so carbide-tipped cutters are recommended. also, interlocked grain can sometimes present problems during planing, and sawn/planed surfaces can be left fuzzy or ragged. sanding to finer grits will help smooth the wood's surface, and prepare it for a stain or finish. glues well.",1," plywood, veneer, boatbuilding, interior furniture, and general construction lumber.",1,,,,,,,,,,,40,1,60,1,,
" yellow meranti, lauan, philippine mahogany",shorea spp.,1,southeast asia,1,1.5,1,2,1,565,1,3120,1,80.8,1,10.68,1,44.5,1,3.3,1,7.7,1,10.5,1," reported as non-durable in regard to decay resistance, and is also susceptible to insect attack.",1,"typically easy to work, though any interlocked grain can present problems during planing. some species may have a slight blunting effect on tools due to small levels of silica present in the wood. glues, stains, and finishes well.",1," plywood, interior furniture, and general construction lumber.",1,,,,,,,,,,,40,1,60,1,,
african mesquite,prosopis africana,1,tropical africa,1,1.5,1,0,1,945,1,13080,1,130.5,1,13.92,1,73.5,1,2.8,1,4.6,1,7.6,1," african mesquite is considered durable to very durable regarding decay resistance, and also has good resistance to insect attack.",1,"african mesquite contains silica, and can have a moderate blunting effect on cutting edges. clear and straight grained mesquite is easy to work with hand and machine tools, but areas of irregular or interlocked grain can pose a challenge. glues, turns, and finishes well.",1," flooring, turned objects, boatbuilding, cabinetry, and furniture.",1,,,,,,,,,,,30,1,0,1,,
black mesquite,prosopis nigra,1,gran chaco region of south america,1,0.4,1,1.2,1,825,1,8630,1,77.3,1,7.7,1,58.6,1,2.6,1,3.5,1,8.5,1," black mesquite is considered durable to very durable regarding decay resistance, though it is susceptible to insect attack.",1,"working properties are largely dictated by the quality of the wood itself. mesquite that is clear and free from defects is easy to work with hand and machine tools, but irregular grain or knots can be challenging. glues, turns, and finishes well.",1," flooring, turned objects, boatbuilding, and furniture.",1,,,,,,,,,,,10,1,16,1,,
honey mesquite,prosopis glandulosa,1,southwestern north america,1,0.2,1,0.4,1,820,1,10410,1,0,1,0,1,0,1,1.6,1,3.2,1,4.8,1,honey mesquite is considered very durable regarding decay resistance.,1,"working properties are largely dictated by the quality of the wood itself. mesquite that is clear and free from defects is easy to work with hand and machine tools, but irregular grain or knots can be challenging. glues, turns, and finishes well.",1," fence posts, flooring, turned objects, cabinetry, and furniture.",1,,,,,,,,,,,6,1,9,1,,
"messmate, stringybark",eucalyptus obliqua,1,southeastern australia,1,1.2,1,2.4,1,750,1,6750,1,112.3,1,14.29,1,60.1,1,5.3,1,10.3,1,15.4,1,no data available.,1,no data available.,1,no data available.,1,,,,,,,,,,,46,1,76,1,,
"mimosa, silktree",albiziajulibrissin,1,native to asia; widely planted as an ornamental,1,0.3,1,0.6,1,540,1,3430,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,9,1,12,1,,
"moabi, african pearwood",baillonella toxisperma,1,equatorial africa,1,1.5,1,2.5,1,860,1,7960,1,160.3,1,16.66,1,72.8,1,6.2,1,8,1,14,1,rated as very durable; good insect resistance.,1,"generally easy to work with hand or machine tools, though figured wood is much more prone to chipping and tearout in machining operations. also, moabi has a high silica content, and will rapidly dull cutting edges, especially tool steel. turns, glues, and finishes well. responds well to steam bending.",1,"veneer, turned objects, fine furniture, cabinetry, and small specialty items.",1,,,,,,,,,,,50,1,60,1,,
"monkey puzzle, chilean pine",araucaria araucana,1,chile and argentina; also planted as an ornamental tree,1,1,1,1.5,1,545,1,1420,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,20,1,35,1,,
" monkeypod, monkey pod, raintree",samanea saman,1,central and south america,1,1,1,1.2,1,600,1,4010,1,65.7,1,7.92,1,39.9,1,2,1,3.4,1,6,1," rated as durable to very durable regarding decay resistance, monkeypod is also resistant to most insect attacks.",1,"monkeypod is generally easy to work with both hand and machine tools, though any interlocked grain may result in fuzzy or torn grain during planing operations. glues and finishes well.",1," veneer, plywood, millwork/trim, carving, cabinetry, furniture, musical instruments (guitars and ukuleles), and other small specialty wood items.",1,,,,,,,,,,,30,1,38,1,,
monkeythorn,senegalia galpinii (syn. acacia galpinii),1,southern africa,1,1,1,0,1,800,1,9070,1,112,1,13.14,1,61,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,20,1,30,1,,
" mopane, mopani",colophospermum mopane,1,southern africa,1,0.6,1,1,1,1075,1,15060,1,114,1,13.22,1,70.3,1,4,1,5.2,1,9.3,1," mopane is rated as very durable, and is also resistant to termites and powder post beetles.",1,"mopane is generally considered to be difficult to work, mainly on account of its incredibly high density. machining has a severe blunting effect on cutters. mopane is excellent for turned objects.",1," flooring, musical instruments (woodwind), turned objects, fuelwood/charcoal, furniture, inlay, and exterior construction.",1,,,,,,,,,,,20,1,30,1,,
" pau ferro, morado, bolivian rosewood, santos rosewood",machaerium spp. (machaerium scleroxylon),1,tropical south america (mainly brazil and bolivia),1,1,1,1.5,1,865,1,8710,1,122.4,1,10.86,1,60.9,1,2.8,1,6.7,1,9.9,1," rated as verydurable, though quite susceptible to insect attack, and not recommended in direct ground contact.",1,"pau ferro is considered overall to be of fair workability, as it can blunt the cutting edges of tools, and any irregular grain has a tendency to tearout during machining operations. also, many of the same challenges in gluing rosewoods are common to pau ferro as well. pau ferro turns and finishes well.",1," veneer, musical instruments, cabinetry, flooring, interior trim, turning, and other small specialty wood objects.",1,,,,,,,,,,,20,1,30,1,,
" movingui, ayan, nigerian satinwood",distemonanthus benthamianus,1,west africa,1,1,1,1.5,1,720,1,5680,1,129.2,1,12.23,1,61.3,1,3.5,1,5.7,1,10,1," rated as moderately durable regarding decay resistance, and moderately resistant to termite attack.",1,"generally the wood is easy to work, though movingui can have up to 1.3% silica content by weight, which may result in blunting effects ranging from moderate to severe. quartersawn surfaces may be inclined to tearout during planing, and charring of the wood may occur during drilling. movingui glues, stains, and finishes well.responds moderately well to steam bending.",1," veneer, cabinetry, furniture, and flooring.",1,,,,,,,,,,,30,1,38,1,,
" amazique, amazoue, mozambique, ovangkol, shedua",guibourtia ehie,1,tropical west africa,1,1,1,1.5,1,825,1,5900,1,140.3,1,18.6,1,64.2,1,4.3,1,8.3,1,12.1,1," rated as moderately durable, with good resistance to insect attack.",1,"overall a fairly easy wood to work, though ovangkol contains silica and can therefore dull cutters prematurely. also, if the grain is interlocked, or if there is other figure present in the wood, planing and other machining operations may be troublesome and cause tearout. turns, glues and finishes well.",1," veneer, furniture, cabinetry, turned objects, musical instruments, and flooring.",1,,,,,,,,,,,30,1,45,1,,
mulberry," morus spp. (morus alba, m. nigra, m. rubra, etc.)",1," red mulberry is native to southeastern united states, other species are found worldwide",1,0.3,1,0.5,1,690,1,7470,1,80.6,1,9.32,1,48.2,1,3.3,1,6.6,1,10.3,1," rated as very durable, with good insect resistance and weathering properties.",1,"responds well to both hand and machine tools. turns, glues, and finishes well.",1," fence posts,furniture, and turned objects.",1,,,,,,,,,,,10,1,15,1,,
" muninga,kiaat, mukwa",pterocarpus angolensis,1,south-central africa,1,0.5,1,0.8,1,605,1,6050,1,98.2,1,8.73,1,55.3,1,1.7,1,2.8,1,5.4,1,heartwood is rated as being durable to moderately durable; good resistance to insect attack.,1,"generally easy to work with tools, though if there is interlocked grain present, it may tearout during planing operations. moderate blunting effect on cutters. glues, stains, and finishes well.",1," furniture, boatbuilding, veneer, turnings, and other small wooden objects.",1,,,,,,,,,,,12,1,18,1,,
" myrtle, oregon myrtle, california bay laurel, pepperwood",umbellularia californica,1,coastal regions of southwest oregon and central california,1,0.6,1,1,1,635,1,5650,1,66.9,1,8.45,1,38.9,1,2.8,1,8.1,1,11.9,1,"heart rot is common, and various decay fungi are known to infect living trees. poor insect resistance.",1,"fairly easy to work, though tearout can occur on pieces with figured grain. has a tendency to burn during drilling and routing, and appropriate speeds and sharp cutters are recommended. turns,glues, and finishes well.",1," veneer, cabinetry, fine furniture, musical instruments (guitar backs), interior trim, gunstocks, turned objects, and other small specialty items.",1,,,,,,,,,,,15,1,24,1,,
" tasmanian myrtle, myrtle beech",nothofagus cunninghamii,1,southeast australia and new zealand,1,1,1,1.5,1,625,1,5840,1,98.2,1,12.62,1,49.4,1,5.4,1,10,1,16.3,1,rated as non-durable to perishableregardingdecay resistance. also susceptible to insect attack.,1,"tasmanian myrtle generally produces excellent results with both hand and machine tools; however, areas of figured wood with abnormal grain can pose difficulties in machining. can be difficult to air-dry heartwood material without defects. responds very well to steam bending. turns superbly. glues, stains, and finishes well.",1," veneer, plywood, boatbuilding, turned objects, carving, flooring, and furniture.",1,,,,,,,,,,,20,1,30,1,,
" nandubay,algarrobillo",prosopis affinis,1,south america,1,0.3,1,0.6,1,1015,1,12230,1,44.3,1,9.79,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,6,1,12,1,,
"nargusta, canxan negro",terminalia amazonia,1,from mexico to brazil,1,1,1,1.5,1,785,1,7770,1,122.5,1,15.21,1,66,1,6.4,1,8.7,1,14.9,1,varies from very durable to moderately durable; mixed insect resistance.,1,"can be difficult to work due to interlocked grain, resulting in tearout. wood with straight grain has better working characteristics. glues and finishes well.",1,"turned objects, furniture, cabinetry, boatbuilding, and general construction.",1,,,,,,,,,,,30,1,50,1,,
" narra, amboyna (burl)",pterocarpus indicus,1,southeast asia,1,1,1,1.5,1,655,1,5620,1,96.3,1,11.89,1,57,1,2.8,1,4,1,6.9,1," narra has good weathering characteristics and is typically very durable regarding decay resistance. it is generally resistant to termite and powder post beetle attack, though there can occasionally be ambrosia beetles present, especially in the sapwood.",1,"easy to work with both hand and machine tools, one of narra's only downsides is that it has a moderate blunting effect on cutters. narra turns, glues, and finishes well.",1," veneer, furniture, cabinetry, boatbuilding, plywood, turned objects, and small specialty wood items.",1,,,,,,,,,,,20,1,30,1,,
" peruvian walnut, tropical walnut, nogal"," juglans spp. (juglans australis, j. neotropica, j. olanchana, etc.)",1," southern mexico, central and south america",1,0.6,1,1,1,600,1,4250,1,77,1,7.81,1,45.2,1,3.6,1,7.5,1,11.4,1," peruvian walnut is rated as moderately durable in terms of decay resistance, though it is susceptible to insect attack.",1,"typically easy to work provided the grain is straight and regular. planer tearout can sometimes be a problem when surfacing pieces with irregular or figured grain. glues, stains, and finishes well.",1," furniture, cabinetry, veneers, flooring, musical instruments, and interior trim.",1,,,,,,,,,,,9,1,18,1,,
nyatoh," palaquium spp., payena spp.",1,"india through southeast asia to the philippines, new guinea, and the western pacific islands",1,0.6,1,1,1,620,1,4760,1,96,1,13.37,1,54.4,1,3.2,1,5.5,1,8.7,1,rated as non-durable and is susceptible to insect attack.,1,"some species within these genera have high silica content and will rapidly dull cutting edges. those not containing silica work fairly easily, though there still tends to be gum buildup on tools.",1," furniture, plywood, and interior joinery.",1,,,,,,,,,,,30,1,40,1,,
red oak,,1,northeastern united states and southeastern canada,1,1,1,2,1,700,1,5430,1,99.2,1,12.14,1,46.8,1,4,1,8.6,1,13.7,1," rated as non-durable to perishable, with poor insect resistance. stains when in contact with water (particularly along theporous growth ring areas). red oaks do not have the level of decay and rot resistance that  white oaks possess.",1,"produces good results with hand and machine tools. has moderately high shrinkage values, resulting in mediocre dimensional stability, especially in flatsawn boards. can react with iron (particularly when wet) and cause staining and discoloration. responds well to steam-bending. glues, stains, and finishes well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,25,1,35,1,,
" black oak, eastern black oak",,1,eastern north america,1,1,1,1.5,1,715,1,5380,1,99.5,1,11.97,1,44.5,1,4.4,1,11.1,1,15.1,1,falls somewhere between slightly durable to non-durable. red oaks such as black oak do not have the level of decay and rot resistance that  white oaks possess.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,20,1,25,1,,
" california black oak, kellogg oak",,1,western united states,1,1,1,1.2,1,620,1,4840,1,59.4,1,6.76,1,38.9,1,3.6,1,6.6,1,10.2,1,falls somewhere between slightly durable to non-durable. red oaks such as california black oak do not have the level of decay and rot resistance that white oaks possess.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,20,1,25,1,,
cherrybark oak,,1,eastern united states,1,1,1,1.5,1,785,1,6580,1,124.8,1,15.7,1,60.3,1,5.5,1,10.6,1,16.1,1,red oaks such as cherrybark oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,25,1,30,1,,
laurel oak,,1,southeastern united states,1,0.6,1,1.2,1,740,1,5380,1,98.8,1,12.37,1,48.1,1,4,1,9.9,1,19,1,red oaks such as laurel oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,20,1,25,1,,
pin oak,,1,eastern united states,1,0.6,1,1.2,1,705,1,6650,1,95.6,1,11.81,1,46.6,1,4.3,1,9.5,1,14.5,1,red oaks such as pin oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,15,1,23,1,,
scarlet oak,,1,eastern united states,1,1,1,1.2,1,735,1,6230,1,110.9,1,12.18,1,56.9,1,4.4,1,10.8,1,14.7,1,red oaks such as scarlet oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,20,1,30,1,,
shumard oak,quercus shumardii,1,southeastern united states,1,1,1,1.5,1,730,1,5750,1,123,1,14.86,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,25,1,35,1,,
" southern red oak, spanish oak",,1,southeastern united states,1,1,1,1.5,1,675,1,4720,1,83,1,10.2,1,42,1,4.7,1,11.3,1,16.1,1,red oaks such as southern red oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,25,1,30,1,,
water oak,,1,eastern united states,1,0.6,1,1,1,725,1,5290,1,114.6,1,14.02,1,46.7,1,4.4,1,9.8,1,16.1,1,red oaks such as water oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,15,1,24,1,,
willow oak,,1,eastern united states,1,1,1,1.5,1,770,1,6490,1,102.4,1,12.44,1,48.6,1,5,1,9.6,1,18.9,1,red oaks such as willow oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, and veneer.",1,,,,,,,,,,,20,1,30,1,,
white oak,,1,eastern united states,1,1,1,1.2,1,755,1,5990,1,102.3,1,12.15,1,50.8,1,5.6,1,10.5,1,16.3,1,rated as very durable; frequently used in boatbuilding and tight cooperage applications.,1,"produces good results with hand and machine tools. has moderately high shrinkage values, resulting in mediocre dimensional stability, especially in flatsawn boards. can react with iron (particularly when wet) and cause staining and discoloration. responds well to steam-bending. glues, stains, and finishes well.",1," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,,,,,,,,,,,20,1,25,1,,
" bur oak, burr oak, mossycup oak",,1,eastern and midwestern united states and south-central canada,1,1,1,1.5,1,725,1,6030,1,75.3,1,7.17,1,40.6,1,4.4,1,8.8,1,12.7,1,bur oak has been rated as having very good resistance to decay.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,,,,,,,,,,,24,1,30,1,,
chestnut oak,,1,eastern united states,1,0.6,1,1.2,1,750,1,5030,1,91.7,1,11,1,47.1,1,5.3,1,10.8,1,16.4,1,chestnut oak has been rated as having very good resistance to decay.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,,,,,,,,,,,18,1,22,1,,
" english oak, european oak",quercus robur,1," most of europe, to asia minor, and north africa",1,1,1,1.5,1,675,1,4980,1,97.1,1,10.6,1,46.3,1,4.7,1,8.4,1,13,1," english oak has been rated as having very good resistance to decay, and is commonly used in boatbuilding applications.",1,"produces good results with hand and machine tools. can react with iron (particularly when wet) and cause staining and discoloration. responds well to steam-bending. glues, stains, and finishes well.",1," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,"Strab 5.1.12, Vitr. 2.9.8, ",,"Building: Shring of Vesta, Type: Foundations, Location: Rome, Date: 600 BC. (Quilici 1979, 78)",5;6,,,"Ulrich: Good for foundations, beams, columns, ship hulls",,,,24,1,35,1,,
" holm oak, holly oak",quercus ilex,1,mediterraneanbasin,1,1,1,1.2,1,800,1,7150,1,0,1,0,1,0,1,4.6,1,8.4,1,13,1,good rot resistance frequently used in boatbuilding applications.,1,"easy to glue, and takes stain and finishes very well.",1," tools,cabinetry, furniture, winebarrels, turned objects, and firewood.",1,Paus. 4.1.6,,"Split and sawed oaken planking was used for lining wells at Colchester (Hawkes and Hull 1947, 126)",7;8,,,"Ulrich: Good for foundations, beams, columns, ship hulls",,,,20,1,25,1,,
"japanese oak, mongolian oak",quercus mongolica,1,japan and eastern asia,1,0.6,1,1,1,680,1,5320,1,0,1,10.51,1,57.2,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,20,1,30,1,,
oregon white oak,,1,pacific northwestern united states,1,1,1,1.2,1,815,1,7310,1,70.3,1,7.51,1,50.5,1,4.2,1,9,1,13.2,1,good rot resistance frequently used in boatbuilding applications.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,,,,,,,,,,,20,1,25,1,,
overcup oak,,1,eastern united states,1,0.6,1,1,1,760,1,5290,1,86.9,1,9.8,1,42.8,1,5.3,1,12.7,1,16,1,overcup oak has been rated as having very good resistance to decay.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,,,,,,,,,,,18,1,27,1,,
post oak,,1,eastern united states,1,0.3,1,1,1,750,1,5990,1,90.1,1,10.31,1,45.1,1,5.4,1,9.8,1,16.2,1," post oak has been rated as having very good resistance to decay. it is said that this wood has been used for fence posts, and may be where it got its name.",1,"easy to glue, and takes stain and finishes very well.",1," fence posts, cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,,,,,,,,,,,12,1,18,1,,
sessile oak,quercus petraea,1," most of europe, to asia minor",1,1,1,1.5,1,710,1,4990,1,97.1,1,10.47,1,47.3,1,4.5,1,9.7,1,14.2,1," sessile oak has been rated as having very good resistance to decay, and is commonly used in boatbuilding applications.",1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,Strab. 11.7.2,,,,,,"Ulrich: Good for foundations, beams, columns, ship hulls",,,,24,1,35,1,,
swamp chestnut oak,,1,southern and central united states,1,0.6,1,1,1,780,1,5460,1,94.9,1,12.09,1,49.6,1,5.2,1,10.8,1,16.4,1," swamp chestnut oak has been rated as being moderately durable, and moderately resistant to decay.",1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,,,,,,,,,,,18,1,24,1,,
swamp white oak,,1,eastern and midwestern united states,1,0.6,1,1.2,1,765,1,7140,1,120,1,13.99,1,57.9,1,5.5,1,10.6,1,17.7,1,swamp white oak has been rated as having very good resistance to decay.,1,"easy to glue, and takes stain and finishes very well.",1," cabinetry, furniture, interior trim, flooring, boatbuilding, barrels, and veneer.",1,,,,,,,,,,,15,1,24,1,,
tanoak,notholithocarpus densiflorus,1,western united states,1,1,1,1.5,1,675,1,6290,1,114.8,1,14.29,1,56.9,1,4.9,1,11.7,1,17.3,1,rated as non-durable to perishable; poor insect resistance.,1,"good workability with machine or hand tools, though lumber can be challenging to dry without defects or discoloration. poor dimensional stability. glues, stains, and finishes well.",1,"veneer, flooring, railroad cross-ties, and furniture.",1,,,,,,,,,,,20,1,30,1,,
" turkey oak, turkish oak",quercus cerris,1,europe and asia minor,1,1.2,1,2,1,720,1,5340,1,114.3,1,10.81,1,56.4,1,6,1,10,1,16,1,falls somewhere between durable and moderately durable.,1,turkey oak is said to work similarly to oaks found in the united states.,1,no data available.,1,"Vitr. 2.9.8,",,,,,,Ulrich: Not desireable for woodworking,,,,25,1,37,1,,
obeche,triplochiton scleroxylon,1,tropical west africa,1,1,1,1.5,1,380,1,1910,1,60.8,1,6.69,1,29.3,1,3.1,1,5.3,1,8.7,1,rated as non-durable; poor insect resistance and liable to fungal staining and discoloration if not dried promptly.,1,"generally easy to work, though the interlocked grain can cause some rough surfaces in some machining operations. carves, stains, glues, and finishes well.",1," veneer, plywood, carvings, furniture, and interior millwork.",1,,,,,,,,,,,20,1,30,1,,
ohia," metrosideros spp. (m. collina, m.polymorpha)",1,pacific islands,1,0.6,1,1.2,1,915,1,9070,1,125.9,1,15.65,1,63.2,1,6.9,1,12.1,1,19.1,1,rated as non-durable to perishable; good insect resistance.,1,"generally difficult to work on account of its high density and interlocked grain. ohia also has a rather large movement in service, as evidenced by its high shrinkage values.",1," furniture, flooring, and turned objects.",1,,,,,,,,,,,20,1,30,1,,
"okoume, gabon",aucoumea klaineana,1,central africa (primarily gabon),1,1,1,1.8,1,430,1,1790,1,75,1,8.47,1,36.2,1,4.6,1,7.1,1,12.2,1,rated as non-durable; poor insect resistance.,1,high silica content has a pronounced blunting effect on cutters. planing and shaping may produce tearout or fuzzy surfaces. glues and finishes well.,1," veneer, plywood, boatbuilding, musical instruments, furniture, and interior millwork.",1,,,,,,,,,,,30,1,40,1,,
olive," olea spp. (olea europaea, o. capensis)",1,europe and eastern africa,1,1,1,1.5,1,990,1,12010,1,155.4,1,17.77,1,77.1,1,5.4,1,8.8,1,14.4,1,conflicting reports range from non-durable/perishable to durable/moderately durable. olive is susceptible to insect attack.,1,"somewhat easy to work, though wild or interlocked grain may result in tearout during surfacing operations. olive has high movement in service and is considered to have poor stability. turns superbly. glues and finishes well.",1," high-end furniture, veneer, turned objects, and small specialty wood items.",1,"Strab. 12. 3. 12., Vitr. 1.5.3",,,,,,,,,,8,1,15,1,,
Russian olive,elaeagnus angustifolia,1,native to eastern europe and western and central asia; naturalized throughout north america,1,0.3,1,0,1,685,1,5530,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,6,1,10,1,,
" macacauba, macawood, hormigo, orange agate"," platymiscium spp. (p. dimorphandrum,p.pinnatum, p. trinitatis,p. ulei)",1,central and south america,1,0.6,1,1,1,950,1,12030,1,148.6,1,19.56,1,80.7,1,2.8,1,4.2,1,7.2,1," heartwood is rated as durable to very durable regarding decay resistance, with good resistance to insect attacks as well.",1,"overall, good working characteristics for both hand and machine tools, though areas of interlocked grain should be approached with care to avoid tearout. able to take a very high natural polish. turns and glues well.",1," furniture, cabinetry, veneer, musical instruments, turned objects, and small specialty wood items.",1,,,,,,,,,,,20,1,25,1,,
" queensland walnut, orientalwood",endiandra palmerstonii,1,northern queensland (australia),1,1.2,1,1.8,1,685,1,7380,1,100.5,1,11.42,1,68.6,1,4.5,1,8.6,1,13.1,1,generally regarded as being between moderately durable and non-durable regarding decay resistance. queensland walnut is also quite susceptible to insect attack.,1,"queensland walnut can cause troubles in two areas it can be difficult to plane if there is interlocked grain present, and it has a reported silica content of 0.19% to 1.08%, making it highly blunting to cutting edges. other than these issues, the wood glues, stains, and finishes well.",1," cabinetry, flooring, millwork, furniture, and veneers.",1,,,,,,,,,,,37,1,43,1,,
