Common Name(s),Scientific Name,Distribution,Tree Size,Average Dried Weight,Janka Hardness,Modulus of Rupture,Elastic Modulus,Crushing Strength,Shrinkage,Rot Resistance,Workability,Common Uses
" light red meranti, lauan, philippine mahogany", shorea spp., southeast asia," 65-130 ft (20-40 m) tall, 3-6 ft (1-2 m) trunk diameter", 30 lbs/ft3 (480 kg/m3),"550 lbf (2,460 n)","11,210 lbf/in2 (77.3 mpa)","  1,652,000 lbf/in2 (11.39 gpa)"," 6,120 lbf/in2 (42.2 mpa)"," radial 4.1%, tangential 7.8%, volumetric 12.6%, t/r ratio 1.9"," reported as non-durable in regard to decay resistance, and is also susceptible to insect attack."," typically easy to work, due to its low density. though some rough or ragged surfaces may be left while sanding, and it may be necessary to sand up to a finer grit to obtain a satisfactory finish. some species may have a slight blunting effect on tools due to small levels of silica present in the wood. glues, stains, and finishes well."," plywood, interior furniture, general construction, concrete forms, as well as a number of other general utility purposes."
" white meranti, lauan, philippine mahogany", shorea spp., southeast asia," 130-200 ft (40-60 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 37 lbs/ft3 (590 kg/m3)," 1,050 lbf (4,670 n)"," 12,800 lbf/in2 (80.2 mpa)","  1,485,000 lbf/in2 (10.24 gpa)"," 6,850 lbf/in2 (47.3 mpa)"," radial 3.3%, tangential 6.9%, volumetric 8.9%, t/r ratio 2.1"," varies between species, though usually reported as being non-durable in regard to decay resistance, and also susceptible to insect attack."," white meranti is in and of itself easy to work, but it has a very severe blunting effect on tools due to its high silica content, so carbide-tipped cutters are recommended. also, interlocked grain can sometimes present problems during planing, and sawn/planed surfaces can be left fuzzy or ragged. sanding to finer grits will help smooth the wood's surface, and prepare it for a stain or finish. glues well."," plywood, veneer, boatbuilding, interior furniture, and general construction lumber."
" yellow meranti, lauan, philippine mahogany", shorea spp., southeast asia," 130-200 ft (40-60 m) tall, 5-6 ft (1.5-2 m) trunk diameter", 35 lbs/ft3 (565 kg/m3)," 700 lbf (3,120 n)"," 11,720 lbf/in2 (80.8 mpa)","  1,548,000 lbf/in2 (10.68 gpa)","6,450 lbf/in2 (44.5 mpa)"," radial 3.3%, tangential 7.7%, volumetric 10.5%, t/r ratio 2.3"," reported as non-durable in regard to decay resistance, and is also susceptible to insect attack."," typically easy to work, though any interlocked grain can present problems during planing. some species may have a slight blunting effect on tools due to small levels of silica present in the wood. glues, stains, and finishes well."," plywood, interior furniture, and general construction lumber."
" merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil","mmon Name(s)::: merbau, kwila, ipil"
,from east africa to southeast asia and australia;<br />(primarily new guinea)," 130-200 ft (40-60 m) tall, 4-5 ft (1.2-1.5 m) trunk diameter", 51 lbs/ft3 (815 kg/m3)," 1,840 lbf (7,620 n)"," 21,060 lbf/in2 (145.2 mpa)"," 2,310,000 lbf/in2 (15.93 gpa)"," 10,650 lbf/in2 (73.4 mpa)","radial 2.9%, tangential 4.8%, volumetric 8.0%, t/r ratio 1.7"," merbau is reported to be very durable, and resists both rotting and insect attack."," glues and finishes well, though it can be difficult to saw due to gumming and dulling of teeth.","flooring, furniture, musical instruments, turned objects, and other specialty wood items.","ientific name intsia spp. (i. bijuga, i. palembanica);;;Distribution:::from east africa to southeast asia and australia;<br />(primarily new guinea);;;Tree Size::: 130-200 ft (40-60 m) tall, 4-5 ft (1.2-1.5 m) trunk diameter;;;Average Dried Weight::: 51 lbs/ft3 (815 kg/m3);;;Janka Hardness::: 1,840 lbf (7,620 n);;;Modulus of Rupture::: 21,060 lbf/in2 (145.2 mpa);;;Elastic Modulus::: 2,310,000 lbf/in2 (15.93 gpa);;;Crushing Strength::: 10,650 lbf/in2 (73.4 mpa);;;Shrinkage:::radial 2.9%, tangential 4.8%, volumetric 8.0%, t/r ratio 1.7;;;Rot Resistance::: merbau is reported to be very durable, and resists both rotting and insect attack.;;;Workability::: glues and finishes well, though it can be difficult to saw due to gumming and dulling of teeth.;;;Common Uses:::flooring, furniture, musical instruments, turned objects, and other specialty wood items.;;;"
 african mesquite, prosopis africana, tropical africa," 100 ft (30 m) tall, 5 ft (1.5 m) trunk diameter", 59 lbs/ft3 (945 kg/m3)," 2,940 lbf (13,080 n)"," 18,930 lbf/in2 (130.5 mpa)"," 2,019,000 lbf/in2 (13.92 gpa)","10,650 lbf/in2(73.5 mpa)"," radial 2.8%, tangential 4.6%, volumetric 7.6%, t/r ratio 1.6"," african mesquite is considered durable to very durable regarding decay resistance, and also has good resistance to insect attack."," african mesquite contains silica, and can have a moderate blunting effect on cutting edges. clear and straight grained mesquite is easy to work with hand and machine tools, but areas of irregular or interlocked grain can pose a challenge. glues, turns, and finishes well."," flooring, turned objects, boatbuilding, cabinetry, and furniture."
 black mesquite, prosopis nigra, gran chaco region of south america," 33-52 ft (10-16 m) tall, 1.3-4 ft (.4-1.2 m) trunk diameter", 52 lbs/ft3 (825 kg/m3)," 1,940 lbf (8,630 n)","11,210 lbf/in2(77.3 mpa)","1,117,000 lbf/in2(7.70 gpa)"," 8,490 lbf/in2 (58.6 mpa)"," radial 2.6%, tangential 3.5%, volumetric 8.5%, t/r ratio 1.3"," black mesquite is considered durable to very durable regarding decay resistance, though it is susceptible to insect attack."," working properties are largely dictated by the quality of the wood itself. mesquite that is clear and free from defects is easy to work with hand and machine tools, but irregular grain or knots can be challenging. glues, turns, and finishes well."," flooring, turned objects, boatbuilding, and furniture."
 honey mesquite, prosopis glandulosa, southwestern north america," 20-30 ft (6-9 m) tall, 8-16 in (20-40 cm) trunk diameter", 51 lbs/ft3 (820 kg/m3)," 2,340 lbf (10,410 n)", no data available*, no data available*, no data available*," radial 1.6%, tangential 3.2%, volumetric 4.8%, t/r ratio 2.0", honey mesquite is considered very durable regarding decay resistance.," working properties are largely dictated by the quality of the wood itself. mesquite that is clear and free from defects is easy to work with hand and machine tools, but irregular grain or knots can be challenging. glues, turns, and finishes well."," fence posts, flooring, turned objects, cabinetry, and furniture."
"messmate, stringybark",eucalyptus obliqua,southeastern australia,"150-250 ft (46-76 m) tall, 4-8 ft (1.2-2.4 m) trunk diameter",47 lbs/ft3 (750 kg/m3),"1,520 lbf (6,750 n)","16,290 lbf/in2 (112.3 mpa)","2,071,000 lbf/in2 (14.29 gpa)","8,710 lbf/in2 (60.1 mpa)","radial 5.3%, tangential 10.3%, volumetric 15.4%, t/r ratio 1.9", no data available., no data available., no data available.
"mimosa, silktree",albiziajulibrissin,native to asia; widely planted as an ornamental,"30-40 ft (9-12 m) tall, 1-2 ft (.3-.6 m) trunk diameter",34 lbs/ft3(540 kg/m3),"770 lbf(3,430 n)",no data available,no data available,no data available,no data available, no data available., no data available.,turned objects and furniture.
"moabi, african pearwood",baillonella toxisperma, equatorial africa,"165-200 ft (50-60 m) tall, 5-8 ft (1.5-2.5 m) trunk diameter",54 lbs/ft3 (860 kg/m3),"1,790 lbf (7,960 n)","23,240 lbf/in2 (160.3 mpa)","2,416,000 lbf/in2 (16.66 gpa)","10,560 lbf/in2 (72.8 mpa)"," radial 6.2%, tangential 8.0%, volumetric 14.0%, t/r ratio 1.3",rated as very durable; good insect resistance.,"generally easy to work with hand or machine tools, though figured wood is much more prone to chipping and tearout in machining operations. also, moabi has a high silica content, and will rapidly dull cutting edges, especially tool steel. turns, glues, and finishes well. responds well to steam bending.","veneer, turned objects, fine furniture, cabinetry, and small specialty items."
"monkey puzzle, chilean pine",araucaria araucana,chile and argentina; also planted as an ornamental tree,"65-115 ft (20-35 m) tall, 3-5 ft (1-1.5 m) trunk diameter",34 lbs/ft3 (545 kg/m3),"320 lbf(1,420 n)",no data available,no data available,no data available, no data available,rated as non-durable to perishable; poor insect resistance. also susceptible to fungal staining.,"clear sections of wood are easy to work with hand and machine tools. sections with knots can be problematic and result in tearout or uneven sanding due to the difference in density of the two regions. glues, finishes, and turns well.","furniture, plywood, paper (pulpwood), turned objects, and small specialty wood items."
" monkeypod, monkey pod, raintree", samanea saman, central and south america," 100-125 ft (30-38 m) tall, 3-4 ft (1-1.2 m) trunk diameter", 38 lbs/ft3 (600 kg/m3),"900 lbf (4,010 n)","9,530 lbf/in2 (65.7 mpa)"," 1,149,000 lbf/in2 (7.92 gpa)"," 5,790 lbf/in2 (39.9 mpa)"," radial 2.0%, tangential 3.4%, volumetric 6.0%, t/r ratio 1.7"," rated as durable to very durable regarding decay resistance, monkeypod is also resistant to most insect attacks."," monkeypod is generally easy to work with both hand and machine tools, though any interlocked grain may result in fuzzy or torn grain during planing operations. glues and finishes well."," veneer, plywood, millwork/trim, carving, cabinetry, furniture, musical instruments (guitars and ukuleles), and other small specialty wood items."
monkeythorn,senegalia galpinii (syn. acacia galpinii),southern africa,"65-100 ft (20-30 m) tall, 3 ft (1 m) trunk diameter",50 lbs/ft3 (800 kg/m3),"2,040 lbf (9,070 n)","16,240 lbf/in2 (112.0 mpa)","1,905,00 lbf/in2 (13.14 gpa)","8,850 lbf/in2 (61.0 mpa)", no data available, no data available., no data available., no data available.
" mopane, mopani", colophospermum mopane, southern africa," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter","67 lbs/ft3 (1,075 kg/m3)","3,390 lbf (15,060 n)"," 16,530 lbf/in2 (114.0 mpa)","1,917,000 lbf/in2 (13.22 gpa)","10,190 lbf/in2 (70.3 mpa)"," radial 4.0%, tangential 5.2%, volumetric 9.3%, t/r ratio 1.3"," mopane is rated as very durable, and is also resistant to termites and powder post beetles."," mopane is generally considered to be difficult to work, mainly on account of its incredibly high density. machining has a severe blunting effect on cutters. mopane is excellent for turned objects."," flooring, musical instruments (woodwind), turned objects, fuelwood/charcoal, furniture, inlay, and exterior construction."
" guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora","mmon Name(s)::: guatemalan mora, mora"
, guatemala," 60-80 ft (18-25 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",  57 lbs/ft3 (910 kg/m3)," 2,380 lbf (10,590 n)"," 19,560 lbf/in2 (134.9 mpa)"," 2,160,000 lbf/in2 (14.90 gpa)"," 11,710 lbf/in2 (80.8 mpa)"," radial 3.4%, tangential 5.4%, volumetric 7.8%, t/r ratio 1.6",guatemalanmora is very durable and has good weathering characteristics; it is also resistant to termites.," working this wood can be difficult due to its hardness and density, though it is reported to have little dulling effect on cutting edges. it turns well, and also takes stains, glues and finishes well."," heavy construction (within the tree's natural range), flooring, furniture, turnings, and other small specialty wood items.","almost universally mislabeled as maclura tinctoria);;;Distribution::: guatemala;;;Tree Size::: 60-80 ft (18-25 m) tall, 2-3 ft (.6-1.0 m) trunk diameter;;;Average Dried Weight:::  57 lbs/ft3 (910 kg/m3);;;Janka Hardness::: 2,380 lbf (10,590 n);;;Modulus of Rupture::: 19,560 lbf/in2 (134.9 mpa);;;Elastic Modulus::: 2,160,000 lbf/in2 (14.90 gpa);;;Crushing Strength::: 11,710 lbf/in2 (80.8 mpa);;;Shrinkage::: radial 3.4%, tangential 5.4%, volumetric 7.8%, t/r ratio 1.6;;;Rot Resistance:::guatemalanmora is very durable and has good weathering characteristics; it is also resistant to termites.;;;Workability::: working this wood can be difficult due to its hardness and density, though it is reported to have little dulling effect on cutting edges. it turns well, and also takes stains, glues and finishes well.;;;Common Uses::: heavy construction (within the tree's natural range), flooring, furniture, turnings, and other small specialty wood items.;;;"
" pau ferro, morado, bolivian rosewood, santos rosewood", machaerium spp. (machaerium scleroxylon), tropical south america (mainly brazil and bolivia)," 65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  54 lbs/ft3 (865 kg/m3),"1,960 lbf (8,710 n)"," 17,750 lbf/in2 (122.4 mpa)"," 1,574,000 lbf/in2 (10.86 gpa)"," 8,830 lbf/in2 (60.9 mpa)"," radial 2.8%, tangential 6.7%, volumetric 9.9%, t/r ratio 2.4"," rated as verydurable, though quite susceptible to insect attack, and not recommended in direct ground contact."," pau ferro is considered overall to be of fair workability, as it can blunt the cutting edges of tools, and any irregular grain has a tendency to tearout during machining operations. also, many of the same challenges in gluing rosewoods are common to pau ferro as well. pau ferro turns and finishes well."," veneer, musical instruments, cabinetry, flooring, interior trim, turning, and other small specialty wood objects."
" movingui, ayan, nigerian satinwood", distemonanthus benthamianus, west africa," 100-125 ft (30-38 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  45 lbs/ft3 (720 kg/m3)," 1,280 lbf (5,680 n)"," 18,740 lbf/in2 (129.2 mpa)"," 1,773,000 lbf/in2 (12.23 gpa)","8,890 lbf/in2 (61.3 mpa)"," radial 3.5%, tangential 5.7%, volumetric 10.0%, t/r ratio 1.6"," rated as moderately durable regarding decay resistance, and moderately resistant to termite attack."," generally the wood is easy to work, though movingui can have up to 1.3% silica content by weight, which may result in blunting effects ranging from moderate to severe. quartersawn surfaces may be inclined to tearout during planing, and charring of the wood may occur during drilling. movingui glues, stains, and finishes well.responds moderately well to steam bending."," veneer, cabinetry, furniture, and flooring."
" amazique, amazoue, mozambique, ovangkol, shedua", guibourtia ehie, tropical west africa," 100-150 ft (30-45 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  51 lbs/ft3 (825 kg/m3)," 1,330 lbf (5,900 n)","20,350 lbf/in2 (140.3 mpa)","  2,701,000 lbf/in2 (18.6 gpa)","9,320 lbf/in2 (64.2 mpa)"," radial 4.3%, tangential 8.3%, volumetric 12.1%, t/r ratio 1.9"," rated as moderately durable, with good resistance to insect attack."," overall a fairly easy wood to work, though ovangkol contains silica and can therefore dull cutters prematurely. also, if the grain is interlocked, or if there is other figure present in the wood, planing and other machining operations may be troublesome and cause tearout. turns, glues and finishes well."," veneer, furniture, cabinetry, turned objects, musical instruments, and flooring."
 mulberry," morus spp. (morus alba, m. nigra, m. rubra, etc.)"," red mulberry is native to southeastern united states, other species are found worldwide"," 30-50 ft (10-15 m) tall, 1-1.5 ft (.3-.5 m) trunk diameter", 43 lbs/ft3 (690 kg/m3)," 1,680 lbf (7,470 n)"," 11,680 lbf/in2 (80.6 mpa)"," 1,352,000 lbf/in2 (9.32 gpa)"," 6,990 lbf/in2 (48.2 mpa)","radial 3.3%, tangential 6.6%, volumetric 10.3%, t/r ratio 2.0"," rated as very durable, with good insect resistance and weathering properties.","responds well to both hand and machine tools. turns, glues, and finishes well."," fence posts,furniture, and turned objects."
" muninga,kiaat, mukwa", pterocarpus angolensis, south-central africa,"40-60 ft (12-18 m) tall, 1.5-2.5 ft (.5-.8 m) trunk diameter",38lbs/ft3 (605 kg/m3)," 1,360 lbf (6,050 n)"," 14,250 lbf/in2 (98.2 mpa)","  1,267,000 lbf/in2 (8.73 gpa)"," 8,020 lbf/in2 (55.3 mpa)"," radial 1.7%, tangential 2.8%, volumetric 5.4%, t/r ratio 1.6", heartwood is rated as being durable to moderately durable; good resistance to insect attack.," generally easy to work with tools, though if there is interlocked grain present, it may tearout during planing operations. moderate blunting effect on cutters. glues, stains, and finishes well."," furniture, boatbuilding, veneer, turnings, and other small wooden objects."
" myrtle, oregon myrtle, california bay laurel, pepperwood", umbellularia californica, coastal regions of southwest oregon and central california,"50-80 ft (15-24 m) tall, 2-3 ft (.6-1 m) trunk diameter", 40 lbs/ft3 (635 kg/m3)," 1,270 lbf (5,650 n)","9,700 lbf/in2 (66.9 mpa)","1,225,000 lbf/in2 (8.45 gpa)"," 5,640 lbf/in2 (38.9 mpa)","radial 2.8%, tangential 8.1%, volumetric 11.9%, t/r ratio 2.9","heart rot is common, and various decay fungi are known to infect living trees. poor insect resistance."," fairly easy to work, though tearout can occur on pieces with figured grain. has a tendency to burn during drilling and routing, and appropriate speeds and sharp cutters are recommended. turns,glues, and finishes well."," veneer, cabinetry, fine furniture, musical instruments (guitar backs), interior trim, gunstocks, turned objects, and other small specialty items."
" tasmanian myrtle, myrtle beech", nothofagus cunninghamii, southeast australia and new zealand," 65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 39 lbs/ft3 (625 kg/m3)," 1,310 lbf (5,840 n)"," 14,230 lbf/in2 (98.2 mpa)"," 1,830,000 lbf/in2 (12.62 gpa)"," 7,160 lbf/in2 (49.4 mpa)"," radial 5.4%, tangential 10.0%, volumetric 16.3%, t/r ratio 1.9", rated as non-durable to perishableregardingdecay resistance. also susceptible to insect attack.," tasmanian myrtle generally produces excellent results with both hand and machine tools; however, areas of figured wood with abnormal grain can pose difficulties in machining. can be difficult to air-dry heartwood material without defects. responds very well to steam bending. turns superbly. glues, stains, and finishes well."," veneer, plywood, boatbuilding, turned objects, carving, flooring, and furniture."
" nandubay,algarrobillo", prosopis affinis,south america," 20-40 ft (6-12 m) tall, 1-2 ft (.3-.6 m) trunk diameter",63 lbs/ft3 (1015 kg/m3)," 2,750 lbf (12,230 n)*","6,430 lbf/in2 (44.3 mpa)","1,420,000 lbf/in2 (9.79 gpa)",no data available, no data available," nandubay is considered very durable regarding decay resistance, and is used for posts and poles."," working properties are largely dictated by the quality of the wood itself. mesquite that is clear and free from defects is easy to work with hand and machine tools, but irregular grain or knots can be challenging. glues, turns, and finishes well."," flooring, firewood, turned objects, cabinetry, and furniture."
"nargusta, canxan negro",terminalia amazonia,from mexico to brazil,"100-165 ft (30-50 m) tall, 3-5 ft (1-1.5 m) trunk diameter",49 lbs/ft3 (785 kg/m3),"1,750 lbf (7,770 n)","17,770 lbf/in2 (122.5 mpa)","2,205,000 lbf/in2 (15.21 gpa)","9,570 lbf/in2 (66.0 mpa)"," radial 6.4%, tangential 8.7%, volumetric 14.9%, t/r ratio 1.4",varies from very durable to moderately durable; mixed insect resistance.,"can be difficult to work due to interlocked grain, resulting in tearout. wood with straight grain has better working characteristics. glues and finishes well.","turned objects, furniture, cabinetry, boatbuilding, and general construction."
" narra, amboyna (burl)", pterocarpus indicus, southeast asia," 65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 41 lbs/ft3 (655 kg/m3)," 1,260 lbf (5,620 n)"," 13,970 lbf/in2 (96.3 mpa)"," 1,724,000 lbf/in2 (11.89 gpa)"," 8,270 lbf/in2 (57.0 mpa)"," radial 2.8%, tangential 4.0%, volumetric 6.9%, t/r ratio 1.4"," narra has good weathering characteristics and is typically very durable regarding decay resistance. it is generally resistant to termite and powder post beetle attack, though there can occasionally be ambrosia beetles present, especially in the sapwood."," easy to work with both hand and machine tools, one of narra's only downsides is that it has a moderate blunting effect on cutters. narra turns, glues, and finishes well."," veneer, furniture, cabinetry, boatbuilding, plywood, turned objects, and small specialty wood items."
" peruvian walnut, tropical walnut, nogal"," juglans spp. (juglans australis, j. neotropica, j. olanchana, etc.)"," southern mexico, central and south america"," 30-60 ft (9-18 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 37 lbs/ft3 (600 kg/m3),"960 lbf (4,250 n)"," 11,160 lbf/in2 (77.0 mpa)"," 1,132,000 lbf/in2 (7.81 gpa)","6,550 lbf/in2 (45.2 mpa)"," radial 3.6%, tangential 7.5%, volumetric 11.4%, t/r ratio 2.1"," peruvian walnut is rated as moderately durable in terms of decay resistance, though it is susceptible to insect attack."," typically easy to work provided the grain is straight and regular. planer tearout can sometimes be a problem when surfacing pieces with irregular or figured grain. glues, stains, and finishes well."," furniture, cabinetry, veneers, flooring, musical instruments, and interior trim."
 nyatoh," palaquium spp., payena spp.","india through southeast asia to the philippines, new guinea, and the western pacific islands"," 100-130 ft (30-40 m) tall, 2-3 ft (.6-1 m) trunk diameter",39lbs/ft3 (620 kg/m3)," 1,070 lbf (4,760 n)"," 13,920 lbf/in2 (96.0 mpa)","  1,939,000 lbf/in2 (13.37 gpa)"," 7,890 lbf/in2 (54.4 mpa)","radial 3.2%, tangential 5.5%, volumetric 8.7%, t/r ratio 1.7", rated as non-durable and is susceptible to insect attack.," some species within these genera have high silica content and will rapidly dull cutting edges. those not containing silica work fairly easily, though there still tends to be gum buildup on tools."," furniture, plywood, and interior joinery."
 red oak,, northeastern united states and southeastern canada," 80-115 ft (25-35 m) tall, 3-6 ft (1-2 m) trunk diameter", 44 lbs/ft3 (700 kg/m3)," 1,220 lbf (5,430 n)"," 14,380 lbf/in2 (99.2 mpa)"," 1,761,000 lbf/in2 (12.14 gpa)"," 6,780 lbf/in2 (46.8 mpa)","radial 4.0%, tangential 8.6%, volumetric 13.7%, t/r ratio 2.2"," rated as non-durable to perishable, with poor insect resistance. stains when in contact with water (particularly along theporous growth ring areas). red oaks do not have the level of decay and rot resistance that  white oaks possess.","produces good results with hand and machine tools. has moderately high shrinkage values, resulting in mediocre dimensional stability, especially in flatsawn boards. can react with iron (particularly when wet) and cause staining and discoloration. responds well to steam-bending. glues, stains, and finishes well."," cabinetry, furniture, interior trim, flooring, and veneer."
" black oak, eastern black oak",, eastern north america," 65-80 ft (20-25 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 45 lbs/ft3 (715 kg/m3)," 1,210 lbf (5,380 n)"," 14,430 lbf/in2 (99.5 mpa)"," 1,736,000 lbf/in2 (11.97 gpa)"," 6,450 lbf/in2 (44.5 mpa)","radial 4.4%, tangential 11.1%, volumetric 15.1%, t/r ratio 2.5", falls somewhere between slightly durable to non-durable. red oaks such as black oak do not have the level of decay and rot resistance that  white oaks possess.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, and veneer."
" california black oak, kellogg oak",, western united states," 65-80 ft (20-25 m) tall, 3-4 ft (1-1.2 m) trunk diameter",39lbs/ft3 (620 kg/m3)," 1,090 lbf (4,840 n)"," 8,610 lbf/in2 (59.4 mpa)"," 980,000 lbf/in2 (6.76 gpa)","5,640 lbf/in2 (38.9 mpa)","radial 3.6%, tangential 6.6%, volumetric 10.2%, t/r ratio 1.8", falls somewhere between slightly durable to non-durable. red oaks such as california black oak do not have the level of decay and rot resistance that white oaks possess.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, and veneer."
 cherrybark oak,, eastern united states," 80-100 ft (25-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter",49lbs/ft3 (785 kg/m3)," 1,480 lbf (6,580 n)"," 18,100 lbf/in2 (124.8 mpa)"," 2,280,000 lbf/in2 (15.70 gpa)"," 8,740 lbf/in2 (60.3 mpa)","radial 5.5%, tangential 10.6%, volumetric 16.1%, t/r ratio 1.9", red oaks such as cherrybark oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, and veneer."
 laurel oak,, southeastern united states," 65-80 ft (20-25 m) tall, 2-4 ft (.6-1.2 m) trunk diameter", 46 lbs/ft3 (740 kg/m3)," 1,210 lbf (5,380 n)"," 14,330 lbf/in2 (98.8 mpa)"," 1,793,000 lbf/in2 (12.37 gpa)"," 6,980 lbf/in2 (48.1 mpa)","radial 4.0%, tangential 9.9%, volumetric 19.0%, t/r ratio 2.5", red oaks such as laurel oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, and veneer."
 pin oak,, eastern united states," 50-75 ft (15-23 m) tall, 2-4 ft (.6-1.2 m) trunk diameter", 44 lbs/ft3 (705 kg/m3)," 1,500 lbf (6,650 n)"," 13,860 lbf/in2 (95.6 mpa)"," 1,713,000 lbf/in2 (11.81 gpa)"," 6,750 lbf/in2 (46.6 mpa)","radial 4.3%, tangential 9.5%, volumetric 14.5%, t/r ratio 2.2", red oaks such as pin oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, and veneer."
 scarlet oak ,, eastern united states," 65-100 ft (20-30 m) tall, 3-4 ft (1-1.2 m) trunk diameter", 46 lbs/ft3 (735 kg/m3)," 1,400 lbf (6,230 n)"," 16,080 lbf/in2 (110.9 mpa)"," 1,766,000 lbf/in2 (12.18 gpa)"," 8,250 lbf/in2 (56.9 mpa)","radial 4.4%, tangential 10.8%, volumetric 14.7%, t/r ratio 2.5", red oaks such as scarlet oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, and veneer."
 shumard oak, quercus shumardii, southeastern united states," 80-115 ft (25-35 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 46 lbs/ft3 (730 kg/m3)," 1,290 lbf (5,750 n)*"," 17,830 lbf/in2 (123.0 mpa)","2,154,000 lbf/in2 (14.86 gpa)",no data available,no data available," rated as non-durable to perishable, with poor insect resistance. red oaks do not have the level of decay and rot resistance that white oaks possess.","produces good results with hand and machine tools. has moderately high shrinkage values, resulting in mediocre dimensional stability, especially in flatsawn boards. can react with iron (particularly when wet) and cause staining and discoloration. responds well to steam-bending. glues, stains, and finishes well."," cabinetry, furniture, interior trim, flooring, and veneer."
" southern red oak, spanish oak",, southeastern united states," 80-100 ft (25-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 42 lbs/ft3 (675 kg/m3)," 1,060 lbf (4,720 n)"," 12,040 lbf/in2 (83.0 mpa)"," 1,480,000 lbf/in2 (10.20 gpa)"," 6,090 lbf/in2 (42.0 mpa)","radial 4.7%, tangential 11.3%, volumetric 16.1%, t/r ratio 2.4", red oaks such as southern red oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, and veneer."
 water oak,, eastern united states," 50-80 ft (15-24 m) tall, 2-3 ft (.6-1 m) trunk diameter", 45 lbs/ft3 (725 kg/m3)," 1,190 lbf (5,290 n)"," 16,620 lbf/in2 (114.6 mpa)"," 2,034,000 lbf/in2 (14.02 gpa)"," 6,770 lbf/in2 (46.7 mpa)","radial 4.4%, tangential 9.8%, volumetric 16.1%, t/r ratio 2.2", red oaks such as water oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, and veneer."
 willow oak,, eastern united states," 65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 48 lbs/ft3 (770 kg/m3)," 1,460 lbf (6,490 n)"," 14,860 lbf/in2 (102.4 mpa)"," 1,804,000 lbf/in2 (12.44 gpa)"," 7,040 lbf/in2 (48.6 mpa)","radial 5.0%, tangential 9.6%, volumetric 18.9%, t/r ratio 1.9", red oaks such as willow oak do not have the level of decay and rot resistance that white oaks possess. durability should be considered minimal.," easy to glue, and takes stain and finishes very well."," cabinetry, furniture, interior trim, flooring, and veneer."
